46594f78-0e8f-4dd0-a8b6-59c5050cacb8|Armstrong 1.23|Armstrong|p. 64
93d7256c-b9d7-4710-ae55-e16902ffe1c8|Armstrong 1.24|Armstrong|p. 64 
7def9868-906b-4ad0-97f1-0b38f0148392|Armstrong 1.25|Armstrong|p. 64
495e6910-1831-4947-bdba-c8ac2f0c39e7|Armstrong 1.27|Armstrong|p. 65
fa139ff1-889c-44b3-8627-c7bfb0be1b19|Armstrong 1.30|Armstrong|p. 65
3d5d0454-2d0a-4ee1-9a35-4ad62145c2f2|Armstrong 1.34|Armstrong|p. 66
27c164ec-7e30-4dea-bee5-4dfde7baf284|Armstrong 1.36|Armstrong|p. 67
0d8a74ba-2d54-496c-9fe0-d05a66ec0fca|Armstrong 1.44|Armstrong|p. 69
09b04a61-ae82-4954-a6b9-4a3ae84c3463|Armstrong 1.45|Armstrong|p. 69
a342b1b4-37ee-4757-b94f-fb5b1ea35b49|Armstrong 1.47|Armstrong|p. 70
79374583-8fde-47f3-a02d-f51eff4b4a05|Armstrong 1.48|Armstrong|p. 70
c33a6a86-4e71-4d88-b1ae-653eafdc1a0a|Armstrong 1.51|Armstrong|p. 70-71
9806170f-75fe-4f46-a10d-9270003ecbbe|Armstrong 1.52|Armstrong|p. 71
5b7e0ad1-a7bd-4ebc-bc8e-b0ea4254d635|Armstrong 1.55|Armstrong|p. 71
21686e55-0f2d-4d1f-ab62-21783ae88810|Armstrong 1.56|Armstrong|p. 71-72
927c71a5-1caf-496e-8ebc-824c574176a0|Armstrong 1.72|Armstrong|p. 75
26c7fa75-c266-472e-bf9a-61652c5bf960|Armstrong 1.73|Armstrong|p. 75-76
8cf84d41-046e-49ae-920a-96f7baa8c020|Armstrong 1.74|Armstrong|p. 76
817f9747-1443-4d5a-a245-619b64f609f4|Armstrong 1.79|Armstrong|p. 77
b5a1f4bf-b58e-45c5-bdf9-d438ff1b25ae|Armstrong 1.81|Armstrong|p. 77-78
6d8a3d1b-f6b1-4209-be69-89ecc1d2605f|Armstrong 1.89|Armstrong|p. 79
03fe1f91-7924-4ae9-912c-d2451866aa1d|Armstrong 1.92|Armstrong|p. 80
02774a07-295b-4185-95e5-454ef21ba4f7|Armstrong 1.92/1.93|Armstrong|p. 80
a9351fa5-2884-47b6-8861-430efd191666|Armstrong 2.28|Armstrong|p. 83
274838a7-f69f-4dae-a873-c3889918af63|Armstrong 2.31|Armstrong|p. 84
cc1df05c-290f-4b47-ab27-57d3b1d1b398|Armstrong 2.40|Armstrong|p. 85
7103939f-9ea3-4af9-a312-4ede000cf774|Armstrong 2.43|Armstrong|p. 85
11cf1d2c-ca61-41c7-a1d2-d04d4f0a01ae|Armstrong 2.50|Armstrong|p. 86
3fd7dcc4-0469-45a5-a562-94deb86c36b9|Armstrong 2.53|Armstrong|p. 87
