id|label|samian_id
acd64083-d3ab-4e1d-91d8-f2b043000001|bowl|samian:gf_776552
acd64083-d3ab-4e1d-91d8-f2b043000004|rectangular dish|nan
acd64083-d3ab-4e1d-91d8-f2b043000012|lamp|nan
acd64083-d3ab-4e1d-91d8-f2b043000003|dish|samian:gf_174619
acd64083-d3ab-4e1d-91d8-f2b043000000|plate|samian:gf_113072
acd64083-d3ab-4e1d-91d8-f2b043000002|jug|nan
