obj|statement|label|book|page
d8e7a541-90ae-4161-9b9e-f944e53bb67e|c30c01b2-9c7e-45ec-833b-f734e1000018|Hayes 54|Hayes (1972)|p.82-83
126c10ea-d557-4462-96fe-100faf9f427e|ad9f1037-e6d1-4ef2-9247-e26733267bc7|Hayes 55|Hayes (1972)|p.83
28f18dab-7c13-4cac-b473-4a7c9cecbfb7|ad9f1037-e6d1-4ef2-9247-e26733267bc7|Hayes 55|Hayes (1972)|p.83
5531692d-df51-407f-abf5-3d206d2be3a2|ad9f1037-e6d1-4ef2-9247-e26733267bc7|Hayes 55|Hayes (1972)|p.83
7cdf05c9-126f-4e44-93c1-446bbd1970e9|ad9f1037-e6d1-4ef2-9247-e26733267bc7|Hayes 55|Hayes (1972)|p.83
9635cd06-a54d-4fcd-8386-548279cdbae2|ad9f1037-e6d1-4ef2-9247-e26733267bc7|Hayes 55|Hayes (1972)|p.83
00f76004-c41b-44b0-a02c-12fc5308be28|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
02a31d01-bcec-4466-91cc-d0da421590f6|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
17ed6b0e-e24c-4887-839d-0d9bcdc5bf76|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
1c104125-01ab-45dd-9abf-bf564dd55b0c|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
2790d60f-aa38-4b56-880e-a4dca4c2d2ea|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
2b8cf3ce-914f-472e-a48a-b5d880bf3cec|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
2f8026db-a016-4450-aedb-565f2e985b4f|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
3ce48b4e-ab71-421c-a6d4-398e392a86f5|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
4b3fa131-f27f-4583-b652-1e64297fa4dd|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
4bd0a149-5287-47b4-801a-8ed84ee7e2c9|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
4e4808b4-9a42-4572-9dd4-3d072176cc26|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
51870859-ea16-46f9-95b3-84792f01d568|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
57f5b441-6dc0-44e6-9e75-2c9af28a2717|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
5f87c160-3237-466c-8ca5-302f2b854a0d|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
63d36a81-93df-46a6-b5bd-c3e79edc87cd|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
660b8899-364e-4162-af3f-1b99d349d6cd|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
72e49ef5-b107-4a58-bda3-7c0a06a3d213|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
79b9da1b-2cff-42ee-bf9e-d94d4c1812b2|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
7ed86d39-fe9d-4e8f-9266-d4ef79add94b|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
868dc8f0-b30d-4c0a-bc67-870fd01344d3|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
8ab8e761-1668-462e-832c-55317a5721dd|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
8d299349-833d-4335-a91f-107e4b97e10e|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
98a047d3-2dc8-47c9-821c-4fe5c115e231|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
9b2be195-e95b-4419-bb2e-11e215e07e4a|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
aa7e68dd-22f9-44f4-acc5-977c605d3b8f|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
afb5bbe7-ec17-4c72-892a-30366541cf03|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
c146fdcc-1804-4435-870a-02f4f0a0ed1e|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
c3001139-8f1b-4b32-934b-d7e08e7f651d|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
d34a0732-4ec4-40a7-bd41-d1876891a6f5|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
d36aa656-be09-4655-89c0-befc64fce65e|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
e6843124-6884-4227-85b3-2343a9aeabbd|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
e7782672-bfa6-459f-b8f5-5c32be81f8ab|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
ecb7e7ba-0978-450e-8c89-0b10c0f12d47|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
f1471c0d-d513-411c-a7c0-66d1a0f3fb69|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
f1ba6dd0-7639-47eb-bfcb-c0d15bc7211d|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
ff32015b-4a2f-48b6-922b-d3be6662dfb2|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
ff6d1a57-442b-4f83-b1a4-148451cfa7de|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|Hayes (1972)|p.83-91
2cb8f105-42b3-4260-9c6f-8e1819b8d27d|1fd3f5da-8d4b-4d68-8a7e-e61963a88a14|Hayes 58B|Hayes (1972)|pp. 93-96
23a100ab-d0c9-4005-93d5-f5be496b20ea|f7b36c24-9a27-4b27-8b1f-5f82df341913|Hayes 61|Hayes (1972)|p.100-107
e8c990cb-cc9f-4424-bedf-170e57a0e958|f7b36c24-9a27-4b27-8b1f-5f82df341913|Hayes 61|Hayes (1972)|p.100-107
9385f9d6-2523-4c71-a520-07544a35b8f5|83432cba-4b2f-4111-ad77-c0cf28e53ae4|Hayes 67|Hayes (1972)|p.112-116
5a9b4b32-0015-46d2-9ad9-ab16bb0e94a0|a4d7e016-cc74-4400-a2a6-e1688f5f4300|Hayes 75|Hayes (1972)|p.124
450ea7c5-5629-487f-ae15-ff40fcf2a4dd|07f3341c-e107-4dbc-9d57-680fa00a2bcf|Hayes 82|Hayes (1972)|p.128-131
a9e0c26f-8be9-4fd8-bbb9-1d329cd75097|07f3341c-e107-4dbc-9d57-680fa00a2bcf|Hayes 82|Hayes (1972)|p.128-131
