obj|statement|label|book|page
03f836b3-2e11-410a-8053-8e1de8f73fbd|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
04711d52-f425-4c54-9a20-68a272ab2ba3|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
0601716d-b685-4b45-ad2b-3224fc5fc569|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
09114937-85ef-4bf5-bca0-351696030cd2|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
0d6418cb-0e20-4dbb-b2f1-2fd1747f7254|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
0e4e84fd-1d0b-4389-a89d-2e5403699a65|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
10e6f99f-172d-47ba-aa3b-4ff348def88c|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
15eb9dfe-5bce-466e-83ef-7e118a0e363e|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
19d3a1c0-e765-44e4-aba9-ec3fa665d3a1|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
1a212bd2-66f6-41f3-871f-0a33de751576|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
1bbbb26b-04f5-48e9-8a14-57e3991bc711|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
211865dd-e890-4f53-928c-4c9176b4633f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
22652cb5-dc43-4fe7-af35-b9c6f45930aa|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
234a736a-666f-4a3e-98d8-964bcf8f07f9|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
235d893f-d8ed-41cc-a7d2-786393a09c5f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
24225437-d773-4211-90d4-ba8513d2569b|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
29282a82-c498-4ec7-ab07-94846a9f84ac|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
2c81898a-647b-4527-a3ba-544e918460ca|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
2f9af441-bf78-4e2b-b932-7b8f331c305d|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
31b839fa-c20e-4ef1-853c-21ef53a66acd|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
32c184aa-8812-48a9-bd19-bed6a38348b0|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
336480d0-010d-4859-9423-2764f0d0f862|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
347849cd-9e37-495e-ac91-3672f982829a|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
350d59bb-4fab-4dad-be2f-af33c4053b8d|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
387b9391-715e-4869-85ec-936812adfe3e|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
3971ecb2-0c7f-4dcf-a5d9-dc85d4ed8a8e|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
3ed16482-392d-4516-ab12-4e55c70906c9|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
400da0ee-b024-47b6-923f-b0dcddcbbc75|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
42cbfae4-7957-421f-af01-a734227c3349|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
433e8d5c-852b-478e-aea7-a95f113d80ce|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
456117d8-276b-4ceb-94ce-cc8c955a215f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
47722385-a425-4ab9-a6e6-4929082ca0db|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
47def21b-ca45-4dbd-9eac-899956149b1d|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
481e3d80-cc7e-4f3b-91fc-2f7543954eca|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
498c23c1-bc6a-4ca6-80a5-41d56e4dd6eb|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
4b3b8593-d091-4b32-91e6-516c9a6f8dee|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
4c6d23ed-691e-4a18-af2a-5c88041f3f29|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
4dc14582-fb7f-4d5e-a14d-79271ee733a3|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
4ee6e5e0-a831-4859-906f-1976ad72dbd9|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
50f6facb-1e55-4cd0-b157-810f4ba9b8df|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
53b8183d-c264-45f9-846e-345694e3ad50|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
554ce8ce-fa32-4cb1-8466-3150d0e9ab32|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
55d1f7b3-32da-486f-8ca2-f4f9a1c958c5|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
56c36ba1-9914-4b1b-af70-ac41eef89614|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
57052b95-ca87-4d40-b59c-7c4128f78b23|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
595257bc-f279-49d0-bd69-9fbca4d63dab|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
